"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime', 'time_offset']"
8,-4.647929056303007,-2.8088066008968333,186.4195634285064,0.19523505091324084,0.0,7,20,260,7,20,260,26.59286618232727,250
9,-4.64355890062558,-2.811122535912952,185.21925796114604,0.19397798509982078,0.0,7,20,260,7,20,260,26.657235622406006,258
10,-4.604441099751776,-2.8103867231747013,184.317599522949,0.19303368885108482,0.0,7,20,260,7,20,260,26.82536292076111,242
11,-4.573432931841514,-2.801452346791035,183.71822493503322,0.1924059709675414,0.0,7,20,260,7,20,260,27.09192681312561,251
12,-4.589770157654785,-2.78426748804228,183.42181434239447,0.1920955437571561,0.0,7,20,260,7,20,260,27.162050485610962,249
13,-4.570311893436885,-2.7743690631586384,183.4261070746487,0.19210003964612216,0.0,7,20,260,7,20,260,27.342668771743774,250
14,-4.578496528894955,-2.771380419462601,183.7259435349032,0.1924140550485891,0.0,7,20,260,7,20,260,27.476043462753296,249
15,-4.576614702845829,-2.781052088972848,184.313332580728,0.19302922093397085,0.0,7,20,260,7,20,260,27.676234006881714,250
16,-4.584508005838439,-2.7938701133072725,185.17754363731603,0.19393429929598782,0.0,7,20,260,7,20,260,27.776726007461548,250
17,-4.631769815510386,-2.812250487377816,186.3052225672273,0.19511530450170356,0.0,7,20,260,7,20,260,27.91103434562683,250
